Club Number,Agreement Number,Membership Type,Since Date,Invoice  Amount,consolidated_mem_types
132,13203813,EFIT,07-04-2010,26.6875,Fit
132,13203831,EFIT,8/22/2019,28.7975,Fit
132,13203844,EFIT,7/16/2010,21.3575,Fit
132,13203848,EFIT,7/16/2010,26.6775,Fit
132,13203862,EFIT,07-05-2010,24.5475,Fit
132,13203886,EFIT,07-11-2010,26.6875,Fit
132,13203888,EFIT,07-11-2010,26.6875,Fit
132,13203893,RED,3/13/2019,16.0375,Red
132,13203894,RED,3/13/2019,16.0375,Red
132,13203912,FSTCD,1/15/2019,20.0875,Child
132,13203926,EFIT,8/23/2019,28.7975,Fit
132,13203931,EFIT,7/28/2010,26.6875,Fit
132,13203977,EFIT,1/15/2019,21.3575,Fit
132,13204017,EFIT,8/17/2010,23.4875,Fit
132,13204025,EFIT,8/17/2010,26.6875,Fit
132,13204032,EFITPF,8/17/2010,0.0975,Fit
132,13204069,EFIT,8/20/2010,26.6875,Fit
132,13204095,EFIT,8/25/2010,23.4875,Fit
132,13204113,EFIT,04-04-2012,27.6775,Fit
132,13204137,EFIT,8/13/2010,26.6775,Fit
132,13204163,EFITPF,08-11-2010,0.0975,Fit
132,13204184,EFIT,08-10-2010,26.6875,Fit
132,13204205,EFIT,7/30/2010,26.6775,Fit
132,13204224,EFIT,9/13/2018,26.6775,Fit
132,13204237,EFIT,08-09-2010,26.6875,Fit
132,13204240,EFIT,08-09-2010,26.6875,Fit
132,13204245,EFIT,9/14/2017,23.4875,Fit
132,13204250,EFIT,08-03-2010,26.6875,Fit
132,13204262,PIFPLT,08-03-2010,0.0975,Fit
132,13204301,EFIT,10-12-2010,26.6775,Fit
132,13204308,TOTAL,04-05-2012,31.9875,Total
132,13204309,TOTAL,10-12-2010,26.6775,Total
132,13204315,EFIT,10/13/2010,26.6875,Fit
132,13204316,EFIT,10/13/2010,26.6875,Fit
132,13204327,TOTAL,10/14/2010,31.9875,Total
132,13204330,EFIT,10/14/2010,26.6775,Fit
132,13204333,EFIT,10/14/2010,26.6875,Fit
132,13204336,EFIT,10/15/2010,26.6775,Fit
132,13204366,EFIT,10-06-2010,26.6775,Fit
132,13204372,EFIT,10-06-2010,21.3575,Fit
132,13204373,EFIT,10-06-2010,26.6775,Fit
132,13204404,EFIT,10/18/2010,23.4875,Fit
132,13204423,TOTAL,10/19/2010,21.3575,Total
132,13204424,EFIT,10/20/2010,23.4875,Fit
132,13204432,EFIT,10/20/2010,26.6775,Fit
132,13204434,TOTAL,10/20/2010,31.9875,Total
132,13204466,EFIT,11/15/2010,26.6775,Fit
132,13204475,EFIT,10/26/2010,26.6875,Fit
132,13204498,EFIT,1/16/2019,26.6775,Fit
132,13204501,TOTAL,04-09-2012,31.9875,Total
132,13204505,EFIT,9/16/2010,23.4875,Fit
132,13204508,EFIT,9/14/2010,26.6775,Fit
132,13204509,EFIT,9/14/2010,26.6775,Fit
132,13204513,EFIT,9/15/2010,26.6875,Fit
132,13204514,RED,1/16/2019,16.0375,Red
132,13204515,EFIT,1/16/2019,26.6775,Fit
132,13204519,TOTAL,04-06-2012,26.6775,Total
132,13204524,EFIT,9/18/2010,26.6875,Fit
132,13204526,EFITPF,9/19/2010,0.0975,Fit
132,13204529,EFIT,4/18/2012,23.4875,Fit
132,13204531,EFIT,9/20/2010,26.6775,Fit
132,13204541,TOTAL,9/20/2010,37.3075,Total
132,13204580,TOTAL,8/23/2019,37.3075,Total
132,13204581,EFIT,8/23/2019,28.7975,Fit
132,13204600,TOTAL,12-06-2010,37.2175,Total
132,13204608,EFIT,05-11-2011,23.4875,Fit
132,13204614,EFITPF,6/20/2012,0.0975,Fit
132,13204620,EFIT,04-04-2011,26.6775,Fit
132,13204621,EFIT,04-04-2011,26.6775,Fit
132,13204636,EFIT,04-06-2011,26.6775,Fit
132,13204637,EFIT,04-06-2011,26.6875,Fit
132,13204639,EFIT,04-06-2011,23.4875,Fit
132,13204671,EFIT,04-11-2011,26.6775,Fit
132,13204672,EFIT,04-11-2011,26.6775,Fit
132,13204694,EFIT,04-11-2011,26.6775,Fit
132,13204705,EFIT,05-10-2012,26.6775,Fit
132,13204715,TOTAL,04-10-2012,31.9875,Total
132,13204731,EFIT,04-11-2012,27.6775,Fit
132,13204734,EFIT,5/13/2012,26.6775,Fit
132,13204745,EFIT,04-12-2012,26.6775,Fit
132,13204758,EFIT,04-12-2012,28.7975,Fit
132,13204773,EFITPF,4/14/2012,0.0975,Fit
132,13204779,EFIT,4/14/2012,27.6775,Fit
132,13204781,TOTAL,4/14/2012,21.3575,Total
132,13204782,EFIT,4/14/2012,27.6775,Fit
132,13204823,TOTAL,4/17/2012,31.9875,Total
132,13204827,EFIT,4/17/2012,27.6775,Fit
132,13204837,PIFPLT,4/17/2012,0.0975,Fit
132,13204844,EFIT,5/19/2012,27.6775,Fit
132,13204855,TOTAL,1/17/2019,31.9875,Total
132,13204860,RED,4/19/2012,10.7275,Red
132,13204861,EFIT,4/19/2012,26.6775,Fit
132,13204866,EFIT,4/19/2012,27.6775,Fit
132,13204871,PIFPLT,6/17/2012,0.0975,Fit
132,13204883,TOTAL,4/23/2012,31.9875,Total
132,13204906,EFITPF,5/27/2012,0.0975,Fit
132,13204915,EFIT,5/28/2012,27.6775,Fit
132,13204926,EFIT,5/30/2012,28.7975,Fit
132,13204929,EFIT,4/29/2012,27.6775,Fit
132,13204932,EFIT,4/29/2012,27.6775,Fit
132,13204936,TOTAL,4/30/2012,37.3075,Total
132,13204937,TOTAL,4/30/2012,37.3075,Total
132,13204956,EFIT,05-01-2012,26.6775,Fit
132,13204972,PIFPLT,05-03-2012,0.0975,Fit
132,13204996,TOTAL,05-04-2012,37.3075,Total
132,13205010,EFIT,8/25/2019,28.7975,Fit
132,13205019,EFIT,06-07-2012,27.6775,Fit
132,13205020,TOTAL,06-07-2012,31.9875,Total
132,13205024,EFIT,05-07-2012,27.6775,Fit
132,13205031,EFIT,05-07-2012,23.4875,Fit
132,13205041,TOTAL,05-08-2012,26.6775,Total
132,13205064,TOTAL,8/26/2019,31.9875,Total
132,13205068,EFIT,5/18/2012,26.6775,Fit
132,13205071,EFIT,05-12-2012,26.6775,Fit
132,13205079,EFIT,5/13/2012,23.4875,Fit
132,13205080,EFIT,5/13/2012,27.6775,Fit
132,13205090,TOTAL,5/14/2012,37.3075,Total
132,13205096,EFIT,6/15/2012,26.6775,Fit
132,13205105,EFITPF,5/15/2012,0.0975,Fit
132,13205122,EFIT,5/16/2012,27.6775,Fit
132,13205125,REDPIF,5/16/2012,0.0975,Red
132,13205126,TOTAL,5/16/2012,37.3075,Total
132,13205133,EFIT,5/16/2012,26.6775,Fit
132,13205136,EFIT,5/16/2012,27.6775,Fit
132,13205148,TOTAL,5/19/2012,31.9875,Total
132,13205150,REDPIF,5/19/2012,0.0975,Red
132,13205151,EFIT,5/20/2012,27.6775,Fit
132,13205155,EFIT,5/20/2012,26.6775,Fit
132,13205172,EFITPF,5/22/2012,0.0975,Fit
132,13205174,EFITPF,5/22/2012,0.0975,Fit
132,13205191,EFIT,5/25/2012,26.6775,Fit
132,13205192,EFIT,5/25/2012,26.6775,Fit
132,13205201,EFITPF,5/27/2012,0.0975,Fit
132,13205206,TOTAL,5/27/2012,37.3075,Total
132,13205233,EFIT,05-04-2015,23.4875,Fit
132,13205236,EFIT,5/31/2012,26.6775,Fit
132,13205286,EFIT,1/18/2019,26.6775,Fit
132,13205297,PIFPLT,08-08-2012,0.0975,Fit
132,13205310,EFIT,9/24/2012,23.4875,Fit
132,13205315,EFIT,06-09-2012,27.6775,Fit
132,13205316,EFIT,07-10-2012,27.6775,Fit
132,13205336,EFIT,06-11-2012,27.6775,Fit
132,13205365,RED,8/27/2019,16.0375,Red
132,13205375,EFIT,6/16/2012,26.6775,Fit
132,13205376,EFIT,6/16/2012,26.6775,Fit
132,13205383,EFIT,6/16/2012,23.4875,Fit
132,13205386,EFIT,6/16/2012,26.6775,Fit
132,13205393,EFITPF,8/19/2012,0.0975,Fit
132,13205417,EFIT,6/19/2012,26.6775,Fit
132,13205421,EFIT,6/19/2012,27.6775,Fit
132,13205459,EFIT,6/25/2012,27.6775,Fit
132,13205463,EFIT,1/19/2019,26.6775,Fit
132,13205464,EFIT,7/26/2012,26.6775,Fit
132,13205469,EFIT,6/25/2012,23.4875,Fit
132,13205483,EFIT,6/27/2012,26.6775,Fit
132,13205486,EFIT,7/29/2012,26.6775,Fit
132,13205487,EFIT,6/28/2012,26.6775,Fit
132,13205526,EFIT,07-04-2012,26.6775,Fit
132,13205527,EFIT,07-04-2012,27.6775,Fit
132,13205575,EFIT,08-06-2012,26.6775,Fit
132,13205576,EFIT,08-06-2012,26.6775,Fit
132,13205582,EFIT,1/19/2019,26.6775,Fit
132,13205599,RED,8/27/2019,16.0375,Red
132,13205602,EFIT,8/27/2019,28.7975,Fit
132,13205613,TOTAL,03-08-2017,31.9875,Total
132,13205620,EFIT,07-09-2012,26.6775,Fit
132,13205629,EFIT,8/28/2019,28.7975,Fit
132,13205657,TOTAL,6/18/2013,28.7975,Total
132,13205721,EFIT,07-11-2012,26.6775,Fit
132,13205750,RED,8/28/2019,16.0375,Red
132,13205789,RED,8/28/2019,16.0375,Red
132,13205800,TOTAL,7/13/2012,23.4875,Total
132,13205817,REDPIF,7/13/2012,0.0975,Red
132,13205830,EFIT,7/15/2012,27.6775,Fit
132,13205831,EFIT,7/15/2012,27.6775,Fit
132,13205837,EFIT,10/21/2013,26.6775,Fit
132,13205935,TOTAL,7/16/2012,37.3075,Total
132,13205947,TOTAL,7/16/2012,37.3075,Total
132,13205948,EFIT,7/16/2012,28.7975,Fit
132,13205957,EFIT,8/23/2019,28.7975,Fit
132,13205959,TOTAL,7/18/2012,28.7975,Total
132,13206001,TOTAL,8/30/2019,37.3075,Total
132,13206086,EFIT,7/23/2012,27.6775,Fit
132,13206089,EFIT,8/30/2019,28.7975,Fit
132,13206095,EFIT,7/23/2012,23.4875,Fit
132,13206117,REDPIF,8/30/2019,0.0975,Red
132,13206149,EFIT,7/25/2012,26.6775,Fit
132,13206198,TOTAL,8/27/2012,37.3075,Total
132,13206205,EFIT,7/26/2012,26.6775,Fit
132,13206206,EFIT,7/27/2012,26.6775,Fit
132,13206214,TOTAL,7/27/2012,21.3575,Total
132,13206294,EFIT,7/30/2012,26.6775,Fit
132,13206334,EFIT,7/31/2012,23.4875,Fit
132,13206354,EFITPF,09-01-2019,0.0975,Fit
132,13206388,EFIT,1/20/2019,26.6775,Fit
132,13206396,EFIT,09-01-2019,28.7975,Fit
132,13206424,EFIT,09-01-2019,28.7975,Fit
132,13206559,TOTAL,09-02-2019,37.3075,Total
132,13206633,EFIT,09-02-2019,28.7975,Fit
132,13206672,TOTAL,08-07-2012,23.4875,Total
132,13206721,REDPIF,09-02-2019,0.0975,Red
132,13206725,RED,09-02-2019,10.7275,Red
132,13206726,EFIT,09-02-2019,28.7975,Fit
